id;total_population;total_male;total_female;potential_population
5206050011;1228;606;622;827
5206050013;1883;915;968;1268
5206052005;538;280;258;363
5206052004;879;445;434;592
5206052003;957;487;470;645
5206051011;2528;1264;1264;1704
5206051009;3178;1509;1669;2141
5206051014;1890;952;938;1273
5206051010;1466;753;713;987
5206060010;2711;1383;1328;1827
5206060015;7410;3670;3740;4992
5206060009;1018;502;516;686
5206060018;5262;2622;2640;3545
5206060025;3904;1948;1956;2630
5206060012;3687;1856;1831;2484
5206060024;1215;624;591;818
5206060008;3268;1687;1581;2202
5206050019;1832;867;965;1234
5206061013;2169;1082;1087;1461
5206061005;4685;2366;2319;3156
5206061009;3317;1620;1697;2234
5206061002;1969;984;985;1327
5206061010;1006;528;478;678
5206061011;2108;1041;1067;1420
5206061007;3195;1614;1581;2152
5206061004;4327;2148;2179;2915
5206061003;1498;761;737;1010
5206061006;4401;2213;2188;2965
5206061008;2706;1338;1368;1823
5206061012;2437;1163;1274;1642
5206061001;1461;746;715;985
5206051006;830;419;411;559
5206051013;1820;890;930;1227
5206051005;2133;1060;1073;1437
5206051001;0;0;0;0
5206051003;0;0;0;0
5206051015;729;369;360;492
5206010007;4534;2321;2213;3055
5206010015;1229;660;569;828
5206010017;1848;930;918;1245
5206051008;749;364;385;504
5206051012;1265;651;614;853
5206021008;2356;1152;1204;1587
5206021003;2103;1007;1096;1416
5206021004;4216;2057;2159;2841
5206021001;4097;2001;2096;2760
5206021009;2103;1007;1096;1416
5206010014;2712;1384;1328;1827
5206010005;2667;1400;1267;1797
5206011005;1139;547;592;768
5206011002;2944;1464;1480;1983
5206030001;3832;1933;1899;2581
5206030009;5129;2603;2526;3456
5206010016;1832;944;888;1234
5206010006;1110;568;542;748
5206041003;1533;730;803;1033
5206041001;3376;1622;1754;2275
5206041008;4909;2346;2563;3307
5206041007;3321;1740;1581;2237
5206041009;1243;629;614;838
5206030013;5023;2507;2516;3384
5206011004;3259;1584;1675;2195
5206011001;760;408;352;512
5206011003;1283;645;638;865
5206090005;1957;944;1013;1318
5206090004;778;420;358;524
5206090007;3887;1944;1943;2619
5206090006;2342;1201;1141;1578
5206090008;2237;1116;1121;1507
5206090009;1563;796;767;1053
5206091004;1937;984;953;1305
5206060021;4027;1983;2044;2713
5206060022;2825;1405;1420;1904
5206060014;1843;922;921;1241
5206060016;3347;1651;1696;2255
5206060019;3463;1745;1718;2333
5206060023;2337;1192;1145;1574
5206060017;1825;885;940;1229
5206060026;1984;997;987;1337
5206060020;2337;1192;1145;1574
5206050021;656;340;316;442
5206050012;2254;1105;1149;1518
5206070003;2229;1145;1084;1501
5206081005;3860;1806;2054;2601
5206091006;0;0;0;0
5206091005;0;0;0;0
5206091003;1502;785;717;1012
5206091009;1352;647;705;911
5206091001;1968;989;979;1326
5206091002;1244;640;604;838
5206091010;0;0;0;0
5206091007;0;0;0;0
5206091008;0;0;0;0
5206050015;2196;1075;1121;1479
5206050020;2176;1048;1128;1466
5206050018;2170;1039;1131;1462
5206070008;1965;967;998;1323
5206070004;1636;825;811;1102
5206070006;5152;2456;2696;3471
5206070015;2692;1325;1367;1814
5206070007;4088;1977;2111;2754
5206070005;932;499;433;628
5206070009;3184;1583;1601;2145
5206030012;2404;1187;1217;1620
5206030015;1254;632;622;845
5206030008;4345;2126;2219;2927
5206030014;761;388;373;512
5206030007;5218;2541;2677;3515
3471060003;9403;4583;4820;7616
3471060002;8647;4211;4436;7004
3471050003;12311;6118;6193;9972
3471140004;9814;4763;5051;7949
3471140002;4855;2405;2450;3933
3471080001;6245;2975;3270;5058
3471010001;14012;6880;7132;11350
3471020001;5884;2895;2989;4766
3471020002;9228;4516;4712;7475
3471020003;6873;3305;3568;5567
3471060005;9182;4410;4772;7437
3471030001;10694;5142;5552;8662
3471010002;11105;5420;5685;8995
3471010003;10207;4946;5261;8268
3471130003;8935;4334;4601;7237
3471130001;10291;5023;5268;8336
3471090001;9356;4577;4779;7578
3471090002;5733;2774;2959;4644
3471140003;11227;4672;6555;9094
3471040003;11964;5895;6069;9691
3471040006;10745;5266;5479;8703
3471040001;7541;3724;3817;6108
3471140001;8997;4358;4639;7288
3471030002;9940;4805;5135;8051
3471040005;9053;4466;4587;7333
3471040002;14979;7303;7676;12133
3471040007;5136;2488;2648;4160
3471080002;4493;2130;2363;3639
